gender arch1 prog1 arch2 prog2
m 99 98 83 94
m NA NA 86 77
m 97 97 92 93
m 99 97 95 96
m 89 92 86 94
m 91 97 91 97
m 100 88 96 85
f 86 82 89 87
m 89 88 65 84
m 85 90 83 85
m 50 91 84 93
m 96 71 56 83
f 98 80 81 94
m 96 76 59 84
m 73 72 91 87
m 67 82 80 77
m 80 85 94 72
m 91 76 85 84
m 89 81 77 81
m 77 81 88 91
m 71 82 59 79
m 84 81 88 77
m 95 83 92 63
m 3 87 56 76
f 95 65 63 82
f NA NA 91 65
m 59 79 73 82
m 95 83 49 69
m 80 80 87 72
m 97 92 98 96
m 81 89 41 57
m 77 70 51 71
m 69 74 83 68
m 82 79 57 45
f 85 66 56 67
m 87 68 56 78
m 88 76 47 61
m 83 76 41 65
m 51 67 49 79
f 76 63 57 76
m 88 64 48 53
m 61 53 54 61
m 83 60 56 49
m 90 78 81 50
m 40 67 53 68
m 92 61 47 64
m 76 69 44 59
m 72 61 62 56
f 77 53 48 60
m 58 52 50 73
m 63 62 40 48
m 48 73 74 53
m 40 75 43 52
m 40 40 48 62
m 75 67 40 45
f 49 61 49 44
m 54 47 43 52
m 56 55 44 55
m 75 40 40 51
m 64 86 50 81
f 88 40 43 83
m 82 66 51 63
m 73 64 28 54
f 59 28 60 51
m 74 57 45 61
m 45 69 35 40
m 70 52 40 43
m 74 29 44 52
m 43 25 31 14
m 49 69 40 24
m 45 29 32 25
m 74 71 40 46
m 46 56 50 28
m 56 52 42 57
m 16 33 16 9
m 21 25 26 12
m 47 56 43 16
m 77 60 47 62
m 27 40 37 6
m 74 13 40 18
f 16 14 NA NA
m 14 31 14 20
m 23 54 48 NA
m 83 76 58 75
f NA 15 16 NA
m 45 40 40 61
m 40 28 26 9
m 48 27 23 16
m 91 89 6 73
f 50 27 22 11
m 77 82 45 65
m 49 49 36 31
m 96 84 48 29
f 21 29 25 5
m 61 40 34 11
m 50 19 41 NA
f 68 74 30 48
m 50 40 51 56
m 69 59 25 40
m 60 36 40 28
f 43 14 NA NA
m 43 30 40 14
m 47 68 43 34
f 60 47 40 NA
m 40 68 57 75
m 45 26 38 6
m 45 31 NA NA
f 31 21 32 8
m 49 12 24 14
m 87 40 40 32
m 40 76 49 17
f 8 29 15 14
m 62 46 50 31
m 14 21 NA NA
m 7 25 27 7
m 16 27 25 7
m 73 51 48 23
m 56 54 49 25
m 46 64 13 19


